id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,license,,,,,,
691479,Apartreboleira. Terrace with a view,3534864,Anne,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.13951,-8.61515,Entire home/apt,160,2,586,2024-11-15,3.94,2,226,14929-AL,,,,,,
692042,RIVERTOPVIEW by YoursPorto,1675750,YoursPorto,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14002,-8.61518,Entire home/apt,80,1,210,2024-11-22,1.41,21,327,14925/AL,,,,,,
695656,Green Oporto Home River Front - Ribeira,2010935,Diana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.13965,-8.61644,Entire home/apt,41,2,27,2024-08-17,0.19,13,264,7250/AL,,,,,,
696324,Mouzinho 134 - Historical Center - Yellow,3565697,Eugenia And Luis,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14295,-8.61372,Entire home/apt,146,2,478,2024-12-04,3.25,9,359,6482/AL,,,,,,
703873,Sunny bedroom near the Douro river,3614742,Rui And Sergey,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.13038,-8.60236,Private room,35,2,189,2024-09-27,1.66,1,347,,,,,,,
708484,"Little and nice inner room, Oporto",1736427,José António & Isabel,PORTO,Ramalde,41.17632,-8.62883,Private room,21,2,135,2023-09-29,1.19,1,0,54199/AL,,,,,,
713596,Apartment Arca D`água with parking,2821843,Paulo,PORTO,Paranhos,41.16838,-8.60986,Entire home/apt,,3,189,2020-08-24,1.29,1,0,,,,,,,
735736,OPO.APT - Pateo Apartment 110-0,3838433,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15583,-8.62387,Entire home/apt,69,2,91,2024-09-20,0.69,7,358,6989/AL,,,,,,
736472,OPO.APT -  Art Déco Apartment 110-1,3838433,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15583,-8.62387,Entire home/apt,66,2,225,2024-10-26,1.55,7,328,6985/AL,,,,,,
738602,Clérigos Downtown | Historic Centre,2220420,Tomás,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14581,-8.61272,Entire home/apt,143,3,532,2024-11-25,3.6,8,264,28177/AL,,,,,,
